         2719936 function calls (2672071 primitive calls) in 31.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      391    0.003    0.000    0.156    0.000 Image.py:1830(resize)
10940/10936    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
      391    0.003    0.000    0.023    0.000 Image.py:2469(new)
      694    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    11926    0.003    0.000    0.006    0.000 transforms.py:178(<lambda>)
    34806    0.003    0.000    0.003    0.000 {method 'bit_length' of 'int' objects}
     2708    0.003    0.000    0.005    0.000 markers.py:267(set_fillstyle)
        1    0.003    0.003    0.051    0.051 glext_arb.py:38(<module>)
     2078    0.003    0.000    0.006    0.000 lines.py:1355(set_dash_joinstyle)
      778    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     4228    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     1941    0.003    0.000    0.005    0.000 font_manager.py:757(set_style)
      578    0.003    0.000    0.004    0.000 ticker.py:577(__call__)
    14559    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1053    0.003    0.000    0.011    0.000 path.py:96(__init__)
      405    0.003    0.000    5.759    0.014 conv.py:334(conv2d_forward)
      588    0.003    0.000    0.014    0.000 inspect.py:1089(getfullargspec)
     1473    0.003    0.000    0.120    0.000 patches.py:209(get_transform)
       27    0.003    0.000    0.014    0.001 __init__.py:909(_rc_params_in_file)
     3899    0.003    0.000    0.005    0.000 lines.py:1297(set_ydata)
     5942    0.003    0.000    0.026    0.000 contextlib.py:79(__enter__)
        1    0.003    0.003    0.003    0.003 pil.py:36(<module>)
3203/1445    0.003    0.000    0.079    0.000 _base.py:660(get_xaxis_transform)
      391    0.003    0.000    0.004    0.000 Image.py:440(_getdecoder)
     1426    0.003    0.000    0.003    0.000 __init__.py:484(cast)
      440    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.ndarray' objects}
     1371    0.003    0.000    0.007    0.000 patches.py:747(_convert_units)
     4317    0.003    0.000    0.007    0.000 artist.py:905(set_visible)
    802/9    0.003    0.000    0.968    0.108 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      629    0.003    0.000    0.008    0.000 backend_bases.py:718(__init__)
     2078    0.003    0.000    0.010    0.000 lines.py:648(set_data)
      391    0.003    0.000    3.249    0.008 03_DQN_training.py:138(render)
      630    0.003    0.000    0.023    0.000 lines.py:1330(update_from)
