         2135722 function calls (2096018 primitive calls) in 12.126 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      104    0.008    0.000    0.010    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        2    0.003    0.002    0.010    0.005 __init__.py:289(close)
  784/628    0.002    0.000    0.010    0.000 transforms.py:2395(get_affine)
     3010    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    10824    0.007    0.000    0.010    0.000 random.py:223(_randbelow)
        2    0.000    0.000    0.010    0.005 __init__.py:10(<module>)
     4436    0.004    0.000    0.010    0.000 contextlib.py:85(__exit__)
      280    0.003    0.000    0.010    0.000 ticker.py:1948(_validate_steps)
        1    0.000    0.000    0.010    0.010 textpath.py:1(<module>)
     1254    0.001    0.000    0.010    0.000 fromnumeric.py:55(_wrapfunc)
      721    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(column_stack)
      639    0.004    0.000    0.010    0.000 inspect.py:2102(_signature_from_function)
        1    0.000    0.000    0.010    0.010 async_vector_env.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _axes.py:97(Axes)
      268    0.010    0.000    0.010    0.000 {built-in method PIL._imaging.fill}
      104    0.003    0.000    0.010    0.000 ticker.py:767(_set_format)
        1    0.000    0.000    0.010    0.010 category.py:12(<module>)
